"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"72",3317999.99979807,1831999.99992613,3319999.99979807,1829999.99992613,778114,4,72,-0.992092682623578,0.414306599191146
"73",3317999.99979807,1829999.99992613,3319999.99979807,1827999.99992613,778115,4,73,-1.21337029690925,0.445146341369411
"74",3317999.99979807,1827999.99992613,3319999.99979807,1825999.99992613,778116,4,74,-0.776847614055664,0.428371449026562
"75",3327999.99979807,1827999.99992613,3329999.99979807,1825999.99992613,789396,4,75,-1.62370754756925,0.386446569624904
"76",3329999.99979807,1825999.99992613,3331999.99979807,1823999.99992613,791653,4,76,-1.08278177949878,0.309492801746944
"77",3323999.99979807,1827999.99992613,3325999.99979807,1825999.99992613,784884,5,77,-1.91973405622531,0.335240281587616
"78",3323999.99979807,1817999.99992613,3325999.99979807,1815999.99992613,784889,5,78,-1.62671188834532,0.463638902703803
"79",3325999.99979807,1819999.99992613,3327999.99979807,1817999.99992613,787144,5,79,-1.20065649811805,0.511255426176766
"80",3329999.99979807,1845999.99992613,3331999.99979807,1843999.99992613,791643,6,80,1.52092467829522,-0.058485211508663
"81",3339999.99979807,1833999.99992613,3341999.99979807,1831999.99992613,802929,6,81,-0.131351016882113,0.23878133506614
"82",3341999.99979807,1833999.99992613,3343999.99979807,1831999.99992613,805185,6,82,-1.61637240571655,0.224281135831137
"83",3319999.99979807,1835999.99992613,3321999.99979807,1833999.99992613,780368,7,83,-0.942318323838662,0.302780001798068
"84",3273999.99979807,1863999.99992613,3275999.99979807,1861999.99992613,728466,8,84,-1.55644451008954,1.09288808101343
"85",3265999.99979807,1845999.99992613,3267999.99979807,1843999.99992613,719451,9,85,-0.851235391120106,1.03336761757965
"86",3269999.99979807,1847999.99992613,3271999.99979807,1845999.99992613,723962,9,86,-0.715813670297272,1.07199732810583
"87",3277999.99979807,1867999.99992613,3279999.99979807,1865999.99992613,732976,10,87,-1.56252127980178,0.684632566178423
"88",3313999.99979807,1827999.99992613,3315999.99979807,1825999.99992613,773604,11,88,-1.41533443371488,0.662930715413033
"89",3313999.99979807,1821999.99992613,3315999.99979807,1819999.99992613,773607,11,89,-1.76885386191182,0.490178975391046
"90",3317999.99979807,1823999.99992613,3319999.99979807,1821999.99992613,778118,11,90,-1.8097550033517,0.450384401352966
"91",3267999.99979807,1819999.99992613,3269999.99979807,1817999.99992613,721720,12,91,1.25424685762786,-0.050531277257132
"92",3269999.99979807,1821999.99992613,3271999.99979807,1819999.99992613,723975,12,92,1.03488232905888,0.076656353236267
"93",3271999.99979807,1815999.99992613,3273999.99979807,1813999.99992613,726234,12,93,0.644171354983217,0.302175468413542
"94",3271999.99979807,1813999.99992613,3273999.99979807,1811999.99992613,726235,12,94,0.899608254900216,0.360262539363852
"95",3273999.99979807,1825999.99992613,3275999.99979807,1823999.99992613,728485,12,95,-0.832593658575652,0.620666824091009
"96",3275999.99979807,1825999.99992613,3277999.99979807,1823999.99992613,730741,12,96,0.826777216828338,0.644566112730018
"97",3277999.99979807,1825999.99992613,3279999.99979807,1823999.99992613,732997,12,97,1.08852031329423,0.781620842978
"98",3291999.99979807,1827999.99992613,3293999.99979807,1825999.99992613,748788,13,98,0.904527560231741,0.799077968316459
"99",3291999.99979807,1825999.99992613,3293999.99979807,1823999.99992613,748789,13,99,-0.868104619683859,0.802041480981475
"100",3295999.99979807,1821999.99992613,3297999.99979807,1819999.99992613,753303,13,100,-1.12841747712227,0.544313274851146
"101",3297999.99979807,1827999.99992613,3299999.99979807,1825999.99992613,755556,13,101,-1.39147577986671,0.829639673534637
"102",3299999.99979807,1819999.99992613,3301999.99979807,1817999.99992613,757816,13,102,-0.747735257077452,0.541898814898178
"103",3263999.99979807,1835999.99992613,3265999.99979807,1833999.99992613,717200,14,103,-1.81563819167681,0.774197578192614
"104",3263999.99979807,1829999.99992613,3265999.99979807,1827999.99992613,717203,14,104,-1.86960954002192,0.777699991235095
"105",3265999.99979807,1833999.99992613,3267999.99979807,1831999.99992613,719457,14,105,-1.87607721953204,0.745135309223
"106",3269999.99979807,1835999.99992613,3271999.99979807,1833999.99992613,723968,14,106,-1.87165161629557,0.737939830872101
"107",3331999.99979807,1849999.99992613,3333999.99979807,1847999.99992613,793897,15,107,2.08949561523413,0.044891970502698
"108",3335999.99979807,1849999.99992613,3337999.99979807,1847999.99992613,798409,15,108,2.02106650887924,-0.384726421341209
"109",3335999.99979807,1847999.99992613,3337999.99979807,1845999.99992613,798410,15,109,2.08547037368384,-0.503408578084805
"110",3335999.99979807,1869999.99992613,3337999.99979807,1867999.99992613,798399,16,110,-1.4880568592922,0.335868069604535
"111",3327999.99979807,1869999.99992613,3329999.99979807,1867999.99992613,789375,17,111,-1.37021462597104,0.38968887181452
"112",3329999.99979807,1869999.99992613,3331999.99979807,1867999.99992613,791631,17,112,-1.68204683422862,0.311629194655496
"113",3331999.99979807,1869999.99992613,3333999.99979807,1867999.99992613,793887,17,113,-1.70791755226908,0.303618885146939
"114",3333999.99979807,1869999.99992613,3335999.99979807,1867999.99992613,796143,17,114,-1.85505726112417,0.293335752635228
"115",3313999.99979807,1859999.99992613,3315999.99979807,1857999.99992613,773588,19,115,-0.543400736690101,0.757449863023458
"116",3315999.99979807,1851999.99992613,3317999.99979807,1849999.99992613,775848,19,116,0.578435467925699,0.461134920168079
"117",3341999.99979807,1873999.99992613,3343999.99979807,1871999.99992613,805165,20,117,0.447868867386644,0.444182354668712
"118",3343999.99979807,1875999.99992613,3345999.99979807,1873999.99992613,807420,20,118,2.07741989058326,0.627902531112136
"119",3345999.99979807,1877999.99992613,3347999.99979807,1875999.99992613,809675,20,119,1.09233877896121,0.736275417788405
"120",3349999.99979807,1875999.99992613,3351999.99979807,1873999.99992613,814188,20,120,1.83212033419816,0.69661738904813
"121",3303999.99979807,1867999.99992613,3305999.99979807,1865999.99992613,762304,21,121,-0.523084240207669,0.836664436933935
"122",3303999.99979807,1865999.99992613,3305999.99979807,1863999.99992613,762305,21,122,-0.532400774351048,0.880665451454398
"123",3307999.99979807,1873999.99992613,3309999.99979807,1871999.99992613,766813,21,123,-1.25541148094001,0.447939250557245
"124",3309999.99979807,1869999.99992613,3311999.99979807,1867999.99992613,769071,21,124,-1.55619702468792,0.453358133387874
"125",3303999.99979807,1877999.99992613,3305999.99979807,1875999.99992613,762299,22,125,-0.889172879852579,0.576200145169016
"126",3323999.99979807,1849999.99992613,3325999.99979807,1847999.99992613,784873,23,126,1.01574572781251,0.357078628741362
"127",3323999.99979807,1847999.99992613,3325999.99979807,1845999.99992613,784874,23,127,1.58714101538961,0.266147272367474
"128",3311999.99979807,1855999.99992613,3313999.99979807,1853999.99992613,771334,24,128,-1.56541292608919,0.724170606242179
"129",3345999.99979807,1865999.99992613,3347999.99979807,1863999.99992613,809681,25,129,-0.673677104239384,0.219111555098123
"130",3327999.99979807,1889999.99992613,3329999.99979807,1887999.99992613,789365,26,130,1.70329814309512,0.625181302888746
